Altium Designer Pick and Place Locations
D:\EE\BMS\BSU\Documents\BSU-Gerber\Pick Place for BSU.csv

========================================================================================================================
File Design Information:

Date:       23/01/24
Time:       15:20
Revision:   8410d753c935477811da1067914176d371dc9eec
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R42","100","BottomLayer","0603_SMD_R","172.7000","35.9000","90","0603 SMD Resistor"
"R41","100","TopLayer","0603_SMD_R","175.5000","35.9000","90","0603 SMD Resistor"
"R40","100","BottomLayer","0603_SMD_R","178.3000","35.9000","90","0603 SMD Resistor"
"R39","100","TopLayer","0603_SMD_R","181.1000","35.9000","90","0603 SMD Resistor"
"R38","100","BottomLayer","0603_SMD_R","183.9000","35.9000","90","0603 SMD Resistor"
"R37","100","TopLayer","0603_SMD_R","186.7000","35.9000","90","0603 SMD Resistor"
"R36","100","BottomLayer","0603_SMD_R","189.5000","35.9000","90","0603 SMD Resistor"
"R35","100","TopLayer","0603_SMD_R","192.3000","35.9000","90","0603 SMD Resistor"
"R34","100","BottomLayer","0603_SMD_R","195.1000","35.9000","90","0603 SMD Resistor"
"R33","100","TopLayer","0603_SMD_R","197.9000","35.9000","90","0603 SMD Resistor"
"R32","100","BottomLayer","0603_SMD_R","200.7000","35.9000","90","0603 SMD Resistor"
"C134","10n","TopLayer","0805_SMD_C","218.5000","66.0000","180","0805 SMD Capacitor"
"C133","10n","TopLayer","0805_SMD_C","173.5000","66.5000","180","0805 SMD Capacitor"
"C132","470n","TopLayer","0805_SMD_C","215.0000","64.0000","90","0805 SMD Capacitor"
"C131","470n","TopLayer","0805_SMD_C","170.0000","64.5000","90","0805 SMD Capacitor"
"C130","470n","BottomLayer","0603_SMD_C","214.5000","60.2000","90","0603 SMD Capacitor"
"C129","470n","BottomLayer","0603_SMD_C","212.5000","58.6000","90","0603 SMD Capacitor"
"C128","470n","BottomLayer","0603_SMD_C","214.5000","57.0000","90","0603 SMD Capacitor"
"C127","470n","BottomLayer","0603_SMD_C","212.5000","55.4000","90","0603 SMD Capacitor"
"C126","470n","BottomLayer","0603_SMD_C","214.5000","53.8000","90","0603 SMD Capacitor"
"C125","470n","BottomLayer","0603_SMD_C","212.5000","52.2000","90","0603 SMD Capacitor"
"C124","470n","BottomLayer","0603_SMD_C","219.4000","49.5000","180","0603 SMD Capacitor"
"C123","470n","BottomLayer","0603_SMD_C","221.0000","47.5000","180","0603 SMD Capacitor"
"C122","470n","BottomLayer","0603_SMD_C","222.6000","49.5000","180","0603 SMD Capacitor"
"C121","470n","BottomLayer","0603_SMD_C","224.2000","47.5000","180","0603 SMD Capacitor"
"C120","470n","BottomLayer","0603_SMD_C","225.8000","49.5000","180","0603 SMD Capacitor"
"C119","470n","BottomLayer","0603_SMD_C","227.4000","47.5000","180","0603 SMD Capacitor"
"C118","470n","BottomLayer","0603_SMD_C","229.0000","49.5000","180","0603 SMD Capacitor"
"C117","470n","BottomLayer","0603_SMD_C","230.6000","47.5000","180","0603 SMD Capacitor"
"C116","470n","BottomLayer","0603_SMD_C","232.2000","49.5000","180","0603 SMD Capacitor"
"C115","470n","BottomLayer","0603_SMD_C","233.8000","51.5000","180","0603 SMD Capacitor"
"C114","470n","BottomLayer","0603_SMD_C","237.2000","51.5000","180","0603 SMD Capacitor"
"C113","470n","BottomLayer","0603_SMD_C","169.5000","60.7000","90","0603 SMD Capacitor"
"C112","470n","BottomLayer","0603_SMD_C","167.5000","59.1000","90","0603 SMD Capacitor"
"C111","470n","BottomLayer","0603_SMD_C","169.5000","57.5000","90","0603 SMD Capacitor"
"C110","470n","BottomLayer","0603_SMD_C","167.5000","55.9000","90","0603 SMD Capacitor"
"C109","470n","BottomLayer","0603_SMD_C","169.5000","54.3000","90","0603 SMD Capacitor"
"C108","470n","BottomLayer","0603_SMD_C","167.5000","52.7000","90","0603 SMD Capacitor"
"C107","470n","BottomLayer","0603_SMD_C","174.6000","49.5000","180","0603 SMD Capacitor"
"C106","470n","BottomLayer","0603_SMD_C","176.2000","47.5000","180","0603 SMD Capacitor"
"C105","470n","BottomLayer","0603_SMD_C","177.8000","49.5000","180","0603 SMD Capacitor"
"C104","470n","BottomLayer","0603_SMD_C","179.4000","47.5000","180","0603 SMD Capacitor"
"C103","470n","BottomLayer","0603_SMD_C","181.0000","49.5000","180","0603 SMD Capacitor"
"C102","470n","BottomLayer","0603_SMD_C","182.6000","47.5000","180","0603 SMD Capacitor"
"C101","470n","BottomLayer","0603_SMD_C","184.2000","49.5000","180","0603 SMD Capacitor"
"C100","470n","BottomLayer","0603_SMD_C","185.8000","47.5000","180","0603 SMD Capacitor"
"C99","470n","BottomLayer","0603_SMD_C","187.4000","49.5000","180","0603 SMD Capacitor"
"C98","470n","BottomLayer","0603_SMD_C","189.0000","51.5000","180","0603 SMD Capacitor"
"C97","470n","TopLayer","0603_SMD_C","214.5000","60.2000","90","0603 SMD Capacitor"
"C96","470n","TopLayer","0603_SMD_C","212.5000","58.6000","90","0603 SMD Capacitor"
"C95","470n","TopLayer","0603_SMD_C","214.5000","57.0000","90","0603 SMD Capacitor"
"C94","470n","TopLayer","0603_SMD_C","212.5000","55.4000","90","0603 SMD Capacitor"
"C93","470n","TopLayer","0603_SMD_C","214.5000","53.8000","90","0603 SMD Capacitor"
"C92","470n","TopLayer","0603_SMD_C","212.5000","52.2000","90","0603 SMD Capacitor"
"C91","470n","TopLayer","0603_SMD_C","219.4000","49.5000","180","0603 SMD Capacitor"
"C90","470n","TopLayer","0603_SMD_C","221.0000","47.5000","180","0603 SMD Capacitor"
"C89","470n","TopLayer","0603_SMD_C","222.6000","49.5000","180","0603 SMD Capacitor"
"C88","470n","TopLayer","0603_SMD_C","224.2000","47.5000","180","0603 SMD Capacitor"
"C87","470n","TopLayer","0603_SMD_C","225.8000","49.5000","180","0603 SMD Capacitor"
"C86","470n","TopLayer","0603_SMD_C","227.4000","47.5000","180","0603 SMD Capacitor"
"C85","470n","TopLayer","0603_SMD_C","229.0000","49.5000","180","0603 SMD Capacitor"
"C84","470n","TopLayer","0603_SMD_C","230.6000","47.5000","180","0603 SMD Capacitor"
"C83","470n","TopLayer","0603_SMD_C","232.2000","49.5000","180","0603 SMD Capacitor"
"C82","470n","TopLayer","0603_SMD_C","233.8000","51.5000","180","0603 SMD Capacitor"
"C81","470n","TopLayer","0603_SMD_C","237.2000","51.5000","0","0603 SMD Capacitor"
"C80","470n","TopLayer","0603_SMD_C","169.5000","60.7000","90","0603 SMD Capacitor"
"C79","470n","TopLayer","0603_SMD_C","167.5000","59.1000","90","0603 SMD Capacitor"
"C78","470n","TopLayer","0603_SMD_C","169.5000","57.5000","90","0603 SMD Capacitor"
"C77","470n","TopLayer","0603_SMD_C","167.5000","55.9000","90","0603 SMD Capacitor"
"C76","470n","TopLayer","0603_SMD_C","169.5000","54.3000","90","0603 SMD Capacitor"
"C75","470n","TopLayer","0603_SMD_C","167.5000","52.7000","90","0603 SMD Capacitor"
"C74","470n","TopLayer","0603_SMD_C","174.6000","49.5000","180","0603 SMD Capacitor"
"C73","470n","TopLayer","0603_SMD_C","176.2000","47.5000","180","0603 SMD Capacitor"
"C72","470n","TopLayer","0603_SMD_C","177.8000","49.5000","180","0603 SMD Capacitor"
"C71","470n","TopLayer","0603_SMD_C","179.4000","47.5000","180","0603 SMD Capacitor"
"C70","470n","TopLayer","0603_SMD_C","181.0000","49.5000","180","0603 SMD Capacitor"
"C69","470n","TopLayer","0603_SMD_C","182.6000","47.5000","180","0603 SMD Capacitor"
"C68","470n","TopLayer","0603_SMD_C","184.2000","49.5000","180","0603 SMD Capacitor"
"C67","470n","TopLayer","0603_SMD_C","185.8000","47.5000","180","0603 SMD Capacitor"
"C66","470n","TopLayer","0603_SMD_C","187.4000","49.5000","180","0603 SMD Capacitor"
"C65","470n","TopLayer","0603_SMD_C","189.0000","51.5000","180","0603 SMD Capacitor"
"X1","Littelfuse 0251.500","TopLayer","LITTELFUSE_0251","39.0960","92.0000","0","Littelfuse 251 series 125VAC/125VDC 500mA"
"USB1","UJ2-MIBH-G-SMT-TR","TopLayer","USB_B_5P_SMD","3.3375","80.0000","270","USB Connectors USB jack, 2.0, micro B type, 5 pin, horizontal, gold flash, SMT, TR"
"U7","TJA1050T_CM_118","TopLayer","SOIC8_TJA1050","7.5000","55.0000","180","NXP - TJA1050T/CM,118 - CAN TRANSCEIVER, 1TX/RX, SOIC-8"
"U6","TJA1050T_CM_118","TopLayer","SOIC8_TJA1050","37.5000","58.0000","270","NXP - TJA1050T/CM,118 - CAN TRANSCEIVER, 1TX/RX, SOIC-8"
"U5","ISO7741FBDW","TopLayer","SOIC16_ISO7741","70.5000","10.0000","0","Digital Isolators Robust EMC, quad-channel, 3/1, reinforced digital isolator 16-SOIC -55 to 125"
"U4","ISO7741FBDW","TopLayer","SOIC16_ISO7741","70.5000","25.0000","0","Digital Isolators Robust EMC, quad-channel, 3/1, reinforced digital isolator 16-SOIC -55 to 125"
"U3","ISO7741FBDW","TopLayer","SOIC16_ISO7741","134.0000","70.0000","180","Digital Isolators Robust EMC, quad-channel, 3/1, reinforced digital isolator 16-SOIC -55 to 125"
"TVS19","PESD5V0U2BT_215","TopLayer","SOT23-3_PESD5V0U2BT","125.0000","25.0000","90","PESD5V0U2BT - Ultra low capacitance bidirectional double ESD protection diode"
"TVS13","ESDA041-2W3Y","TopLayer","SOT323-3_ESDA041-2W3Y","191.8000","30.0000","90","Automotive dual lines 4 V TVS for BMS in SOT323"
"TVS1","ESDA041-2W3Y","TopLayer","SOT323-3_ESDA041-2W3Y","223.0000","30.0000","90","Automotive dual lines 4 V TVS for BMS in SOT323"
"TVS20","PESD5V0U2BT_215","TopLayer","SOT23-3_PESD5V0U2BT","120.6000","25.0000","90","PESD5V0U2BT - Ultra low capacitance bidirectional double ESD protection diode"
"TVS14","ESDA041-2W3Y","TopLayer","SOT323-3_ESDA041-2W3Y","189.2000","30.0000","90","Automotive dual lines 4 V TVS for BMS in SOT323"
"TVS2","ESDA041-2W3Y","TopLayer","SOT323-3_ESDA041-2W3Y","220.4000","30.0000","90","Automotive dual lines 4 V TVS for BMS in SOT323"
"TVS21","PESD5V0U2BT_215","TopLayer","SOT23-3_PESD5V0U2BT","116.2000","25.0000","90","PESD5V0U2BT - Ultra low capacitance bidirectional double ESD protection diode"
"TVS15","ESDA041-2W3Y","TopLayer","SOT323-3_ESDA041-2W3Y","186.6000","30.0000","90","Automotive dual lines 4 V TVS for BMS in SOT323"
